"","probeset_id","log2_Day3_Norm.B6","log2_Day7_Norm.B6","log2_Day14_Norm.B6","log2_Day3_Norm.MRL","log2_Day7_Norm.MRL","log2_Day14_Norm.MRL","Day0_B6_Average","Day0_B6_1","Day0_B6_2","Day0_B6_3","Day0_MRL_Average","Day0_MRL_1","Day0_MRL_2","Day0_MRL_3","Day3_B6_Average","Day3_B6_1","Day3_B6_2","Day3_B6_3","Day3_MRL_Average","Day3_MRL_1","Day3_MRL_2","Day3_MRL_3","Day7_B6_Average","Day7_B6_1","Day7_B6_2","Day7_B6_3","Day7_MRL_Average","Day7_MRL_1","Day7_MRL_2","Day7_MRL_3","Day14_B6_Average","Day14_B6_1","Day14_B6_2","Day14_B6_3","Day14_MRL_Average","Day14_MRL_1","Day14_MRL_2","Day14_MRL_3","log2_Day0_B6_Ave","log_Day0_MRL_Ave","log2_Day3_B6_Ave","log2_Day3_MRL_Ave","log2_Day7_B6_Ave","log_Day7_MRL_Ave","log2_Day14_B6_Ave","log_Day14_MRL_Ave"
"probeset_id",1,0.0348167382180691,0.0216245409101248,-0.0061546266078949,-0.0371920876204967,-0.0320339687168598,-0.0404593981802464,-0.0321537405252457,-0.0336554348468781,-0.0318621061742306,-0.0306697580963373,-0.029082028195262,-0.0277418158948421,-0.0305028948932886,-0.0287888273596764,-0.0277079343795776,-0.0257506314665079,-0.0265778265893459,-0.0304848253726959,-0.0332650654017925,-0.0322954095900059,-0.0341088138520718,-0.0330711528658867,-0.0319730080664158,-0.0328593142330647,-0.0315227434039116,-0.0312376990914345,-0.0345457270741463,-0.0352111645042896,-0.0334442630410194,-0.034601517021656,-0.0366213992238045,-0.0357837751507759,-0.0369026325643063,-0.0365396067500114,-0.0387770868837833,-0.0396871864795685,-0.0395946353673935,-0.0368068404495716,-0.0666084364056587,-0.0612571388483047,-0.0566116906702518,-0.0667850598692894,-0.0591554008424282,-0.0653526112437248,-0.0659937635064125,-0.0680574178695679
"log2_Day3_Norm.B6",0.0348167382180691,1,0.820033431053162,0.663724780082703,-0.754633128643036,-0.353327512741089,-0.602649569511414,-0.131307974457741,-0.129197433590889,-0.125595986843109,-0.137771606445312,0.094598688185215,0.0962808579206467,0.0934110209345818,0.0931877046823502,0.173846513032913,0.155364811420441,0.163714796304703,0.201120749115944,-0.0540387369692326,-0.0625586286187172,-0.0436869077384472,-0.0549681633710861,0.100046582520008,0.0798965245485306,0.127319201827049,0.0934424623847008,0.0493066795170307,0.0566386170685291,0.0443620793521404,0.0465117059648037,0.0205131620168686,0.0308158379048109,0.0234322529286146,0.00612762058153749,-0.0317813530564308,-0.0241041164845228,-0.0309736039489508,-0.0392839387059212,-0.202458545565605,0.0308499000966549,0.110197268426418,-0.123517632484436,0.0339179895818233,-0.0328067317605019,-0.0439129881560802,-0.0919743254780769
"log2_Day7_Norm.B6",0.0216245409101248,0.820033431053162,1,0.859862804412842,-0.556978523731232,-0.00936908926814795,-0.341731041669846,-0.10032244771719,-0.0944359749555588,-0.0898649394512177,-0.115393579006195,0.129838421940804,0.128694772720337,0.136899396777153,0.122521661221981,0.17028172314167,0.148418188095093,0.160199120640755,0.201259315013885,0.000117122704978101,-0.00160802225582302,0.00960366427898407,-0.00741537660360336,0.19224625825882,0.175614655017853,0.217436522245407,0.183310404419899,0.14287856221199,0.143638238310814,0.139634743332863,0.143748015165329,0.105263844132423,0.115251936018467,0.109776712954044,0.0879446044564247,0.0425660088658333,0.0566244274377823,0.0481744073331356,0.024162357673049,-0.073575384914875,0.145938068628311,0.18419286608696,0.0279214587062597,0.211226969957352,0.140453189611435,0.126077383756638,0.0733586549758911
"log2_Day14_Norm.B6",-0.0061546266078949,0.663724780082703,0.859862804412842,1,-0.363198697566986,0.165874108672142,-0.0463041700422764,-0.050355788320303,-0.0394619069993496,-0.0463501699268818,-0.0645493939518929,0.141864657402039,0.136826291680336,0.152367353439331,0.135055467486382,0.168424174189568,0.14103202521801,0.158662587404251,0.20513904094696,0.0517926961183548,0.0507844649255276,0.0560981594026089,0.04805713519454,0.200715646147728,0.188906505703926,0.22910962998867,0.183996424078941,0.181364163756371,0.181194424629211,0.177580147981644,0.183244198560715,0.174848228693008,0.179693877696991,0.177919894456863,0.163279175758362,0.137666329741478,0.155890136957169,0.143913015723228,0.113822087645531,0.0162823814898729,0.210241287946701,0.226048767566681,0.129471272230148,0.25958976149559,0.234246090054512,0.245373159646988,0.196058943867683
"log2_Day3_Norm.MRL",-0.0371920876204967,-0.754633128643036,-0.556978523731232,-0.363198697566986,1,0.443454742431641,0.686951756477356,0.13866500556469,0.141407772898674,0.138905555009842,0.134495675563812,-0.0271350052207708,-0.0252847541123629,-0.0307660829275846,-0.025091253221035,-0.0962517112493515,-0.0934058576822281,-0.0938014164566994,-0.10008804500103,0.146515548229218,0.157817244529724,0.13523405790329,0.14456382393837,-0.0280311703681946,-0.0149736041203141,-0.042204525321722,-0.0273455288261175,0.0115380091592669,0.0113152451813221,0.0186152793467045,0.00455056363716722,0.0417098738253117,0.0343979224562645,0.0439601093530655,0.0461416877806187,0.0897438153624535,0.09208033233881,0.0949356704950333,0.0820991769433022,0.245225340127945,0.0607686974108219,0.0106649054214358,0.261960476636887,0.0825308263301849,0.138060078024864,0.154374644160271,0.198584288358688
"log2_Day7_Norm.MRL",-0.0320339687168598,-0.353327512741089,-0.00936908926814795,0.165874108672142,0.443454742431641,1,0.770622193813324,0.0197734087705612,0.0181415285915136,0.0230306200683117,0.0180472116917372,-0.0501827411353588,-0.062382947653532,-0.0288157891482115,-0.0589381717145443,-0.0657335668802261,-0.0640439242124557,-0.0581054203212261,-0.0741242170333862,-0.00455986754968762,-0.00139737827703357,0.000661442463751882,-0.012819878757,0.0431448854506016,0.0585334002971649,0.0330324955284595,0.0371226035058498,0.110924206674099,0.0988995134830475,0.108519285917282,0.123830139636993,0.0762857049703598,0.0823738351464272,0.0557376220822334,0.0912933647632599,0.092274896800518,0.0967779457569122,0.0948631316423416,0.0848540142178535,0.157599538564682,0.0577338933944702,0.048414159566164,0.145933121442795,0.151807397603989,0.234102264046669,0.190884336829185,0.212573617696762
"log2_Day14_Norm.MRL",-0.0404593981802464,-0.602649569511414,-0.341731041669846,-0.0463041700422764,0.686951756477356,0.770622193813324,1,0.0646826699376106,0.0668564513325691,0.0604601502418518,0.0660625472664833,-0.0778790712356567,-0.0901180356740952,-0.0601276606321335,-0.0825513526797295,-0.113807678222656,-0.111927606165409,-0.108714729547501,-0.118954345583916,0.0326995514333248,0.0406754538416862,0.0281636938452721,0.0287164971232414,-0.0112003767862916,0.00633540470153093,-0.0202219467610121,-0.0198525935411453,0.0512571111321449,0.0369430035352707,0.0536289848387241,0.0623093694448471,0.0712064206600189,0.0690865889191628,0.0554050244390965,0.0896503627300262,0.132240951061249,0.132825821638107,0.129968971014023,0.132265985012054,0.171325713396072,0.0102862175554037,-0.0163602232933044,0.149537667632103,0.0710898265242577,0.147094622254372,0.155479371547699,0.212690085172653
"Day0_B6_Average",-0.0321537405252457,-0.131307974457741,-0.10032244771719,-0.050355788320303,0.13866500556469,0.0197734087705612,0.0646826699376106,1,0.997263133525848,0.997035384178162,0.996716856956482,0.913833737373352,0.911844730377197,0.909834206104279,0.912154912948608,0.883308053016663,0.89098185300827,0.888546347618103,0.853506088256836,0.955534875392914,0.947666764259338,0.955223441123962,0.953739702701569,0.890460729598999,0.897787034511566,0.871196866035461,0.893240690231323,0.894953906536102,0.887205719947815,0.898071467876434,0.889214158058167,0.925089597702026,0.917234420776367,0.920671045780182,0.921835899353027,0.922305703163147,0.91027969121933,0.915247738361359,0.929809272289276,0.637403309345245,0.60940808057785,0.60546749830246,0.61739307641983,0.596289753913879,0.59698098897934,0.606437921524048,0.608603179454803
"Day0_B6_1",-0.0336554348468781,-0.129197433590889,-0.0944359749555588,-0.0394619069993496,0.141407772898674,0.0181415285915136,0.0668564513325691,0.997263133525848,1,0.992037773132324,0.990796148777008,0.918751418590546,0.916518986225128,0.915151238441467,0.9168741106987,0.884257674217224,0.890583038330078,0.888204395771027,0.857220768928528,0.960864961147308,0.952653229236603,0.960401117801666,0.959510743618011,0.893952071666718,0.900406956672668,0.875990211963654,0.896339595317841,0.897996485233307,0.891400873661041,0.900451123714447,0.891756594181061,0.929521918296814,0.919131636619568,0.928152084350586,0.925472378730774,0.928357005119324,0.917869687080383,0.922701120376587,0.933145701885223,0.640169024467468,0.614460349082947,0.608940720558167,0.622835278511047,0.600668251514435,0.601610839366913,0.611620545387268,0.613980650901794
"Day0_B6_2",-0.0318621061742306,-0.125595986843109,-0.0898649394512177,-0.0463501699268818,0.138905555009842,0.0230306200683117,0.0604601502418518,0.997035384178162,0.992037773132324,1,0.990254640579224,0.913575351238251,0.911269009113312,0.909455418586731,0.912369728088379,0.881518840789795,0.886955201625824,0.887265384197235,0.85367351770401,0.956626176834106,0.950067579746246,0.956692039966583,0.95312488079071,0.891424715518951,0.899754822254181,0.871945977210999,0.893413662910461,0.896543383598328,0.88928496837616,0.899941563606262,0.890025675296783,0.923337042331696,0.918054521083832,0.917036652565002,0.919501602649689,0.918917894363403,0.906817317008972,0.913007318973541,0.925528585910797,0.634977698326111,0.608934462070465,0.604808807373047,0.616984009742737,0.596875429153442,0.597099244594574,0.60500580072403,0.607284784317017
"Day0_B6_3",-0.0306697580963373,-0.137771606445312,-0.115393579006195,-0.0645493939518929,0.134495675563812,0.0180472116917372,0.0660625472664833,0.996716856956482,0.990796148777008,0.990254640579224,1,0.901132702827454,0.899709522724152,0.896891295909882,0.899205386638641,0.876279711723328,0.887388110160828,0.882253050804138,0.842113733291626,0.940747082233429,0.932016789913177,0.94022274017334,0.940188765525818,0.878188133239746,0.885335087776184,0.858018338680267,0.882098495960236,0.882477223873138,0.873184680938721,0.885948956012726,0.878036975860596,0.914218068122864,0.906437516212463,0.908656418323517,0.912343442440033,0.911448240280151,0.898082494735718,0.901955366134644,0.922431409358978,0.63137948513031,0.599480807781219,0.597313344478607,0.606947541236877,0.586115598678589,0.587006449699402,0.597338795661926,0.599182188510895
"Day0_MRL_Average",-0.029082028195262,0.094598688185215,0.129838421940804,0.141864657402039,-0.0271350052207708,-0.0501827411353588,-0.0778790712356567,0.913833737373352,0.918751418590546,0.913575351238251,0.901132702827454,1,0.997680723667145,0.996874868869781,0.997003257274628,0.972083628177643,0.966468751430511,0.968020915985107,0.964600801467896,0.955593287944794,0.944183945655823,0.958247125148773,0.954482614994049,0.964042961597443,0.959651291370392,0.960635900497437,0.962846755981445,0.953654706478119,0.954231858253479,0.953139901161194,0.942728996276855,0.950268626213074,0.942177951335907,0.955151498317719,0.936524629592896,0.932796597480774,0.928531885147095,0.930201053619385,0.929089844226837,0.625061750411987,0.667771220207214,0.664255499839783,0.640130877494812,0.649407148361206,0.641373455524445,0.638603270053864,0.636745512485504
"Day0_MRL_1",-0.0277418158948421,0.0962808579206467,0.128694772720337,0.136826291680336,-0.0252847541123629,-0.062382947653532,-0.0901180356740952,0.911844730377197,0.916518986225128,0.911269009113312,0.899709522724152,0.997680723667145,1,0.991773903369904,0.992590367794037,0.969127476215363,0.965340733528137,0.964383721351624,0.960396349430084,0.955507457256317,0.944093406200409,0.957552254199982,0.954998195171356,0.957250416278839,0.951295256614685,0.953703105449677,0.957776308059692,0.94322794675827,0.945651710033417,0.942148387432098,0.931178689002991,0.94128555059433,0.933459639549255,0.94752699136734,0.925920009613037,0.922103226184845,0.917997539043427,0.919451951980591,0.918411076068878,0.625845968723297,0.669258415699005,0.665582478046417,0.641944825649261,0.649851679801941,0.640651643276215,0.638206899166107,0.635718703269958
"Day0_MRL_2",-0.0305028948932886,0.0934110209345818,0.136899396777153,0.152367353439331,-0.0307660829275846,-0.0288157891482115,-0.0601276606321335,0.909834206104279,0.915151238441467,0.909455418586731,0.896891295909882,0.996874868869781,0.991773903369904,1,0.990360975265503,0.969107627868652,0.962447047233582,0.964566349983215,0.963305473327637,0.949122905731201,0.938278257846832,0.952150404453278,0.947143256664276,0.970164775848389,0.967039406299591,0.967522919178009,0.966960668563843,0.964599013328552,0.963287889957428,0.963974237442017,0.955506265163422,0.957777380943298,0.948810696601868,0.960819065570831,0.946855306625366,0.942134618759155,0.938571214675903,0.939690113067627,0.937545120716095,0.627143979072571,0.669510185718536,0.665993928909302,0.641074419021606,0.653448581695557,0.646867692470551,0.643033444881439,0.642041921615601
"Day0_MRL_3",-0.0287888273596764,0.0931877046823502,0.122521661221981,0.135055467486382,-0.025091253221035,-0.0589381717145443,-0.0825513526797295,0.912154912948608,0.9168741106987,0.912369728088379,0.899205386638641,0.997003257274628,0.992590367794037,0.990360975265503,1,0.969867348670959,0.963415384292603,0.96708220243454,0.962040364742279,0.954076051712036,0.942179024219513,0.956975281238556,0.953235030174255,0.956506848335266,0.952521026134491,0.952478289604187,0.955560564994812,0.945090234279633,0.945640921592712,0.94530862569809,0.933555364608765,0.943775057792664,0.936388254165649,0.949073851108551,0.928948402404785,0.926392078399658,0.921255826950073,0.923721313476562,0.923629403114319,0.616524696350098,0.658455789089203,0.655145585536957,0.631539463996887,0.638966917991638,0.630744397640228,0.62876284122467,0.626695990562439
"Day3_B6_Average",-0.0277079343795776,0.173846513032913,0.17028172314167,0.168424174189568,-0.0962517112493515,-0.0657335668802261,-0.113807678222656,0.883308053016663,0.884257674217224,0.881518840789795,0.876279711723328,0.972083628177643,0.969127476215363,0.969107627868652,0.969867348670959,1,0.99556827545166,0.996028304100037,0.990625143051147,0.899464905261993,0.884016990661621,0.90647292137146,0.898775696754456,0.955635011196136,0.946811318397522,0.956105530261993,0.95523738861084,0.925635039806366,0.924878180027008,0.923824667930603,0.917629301548004,0.930739283561707,0.928879261016846,0.928732216358185,0.918437242507935,0.8941251039505,0.887433767318726,0.886891007423401,0.897121846675873,0.610599875450134,0.65638256072998,0.674594521522522,0.615074753761292,0.646692216396332,0.627516567707062,0.630679368972778,0.618336319923401
"Day3_B6_1",-0.0257506314665079,0.155364811420441,0.148418188095093,0.14103202521801,-0.0934058576822281,-0.0640439242124557,-0.111927606165409,0.89098185300827,0.890583038330078,0.886955201625824,0.887388110160828,0.966468751430511,0.965340733528137,0.962447047233582,0.963415384292603,0.99556827545166,1,0.991599142551422,0.976605355739594,0.894480466842651,0.878519594669342,0.901663661003113,0.894191741943359,0.949766516685486,0.941081523895264,0.946340680122375,0.952918529510498,0.919953346252441,0.91950124502182,0.917476534843445,0.912380218505859,0.924432992935181,0.922625362873077,0.921821713447571,0.912856221199036,0.887605726718903,0.878413081169128,0.878348886966705,0.894757330417633,0.615788042545319,0.655162811279297,0.674025893211365,0.614473760128021,0.645582318305969,0.62662935256958,0.629420757293701,0.617525398731232
"Day3_B6_2",-0.0265778265893459,0.163714796304703,0.160199120640755,0.158662587404251,-0.0938014164566994,-0.0581054203212261,-0.108714729547501,0.888546347618103,0.888204395771027,0.887265384197235,0.882253050804138,0.968020915985107,0.964383721351624,0.964566349983215,0.96708220243454,0.996028304100037,0.991599142551422,1,0.978655874729156,0.897141933441162,0.881580650806427,0.904182970523834,0.896559715270996,0.954210877418518,0.94698041677475,0.952741801738739,0.954074859619141,0.927000522613525,0.926604866981506,0.925011396408081,0.918804407119751,0.931493818759918,0.932194948196411,0.927088379859924,0.919149100780487,0.893895149230957,0.88568389415741,0.886239945888519,0.898673951625824,0.604017019271851,0.646301507949829,0.664715111255646,0.605825662612915,0.637383639812469,0.619056224822998,0.62205582857132,0.609517455101013
"Day3_B6_3",-0.0304848253726959,0.201120749115944,0.201259315013885,0.20513904094696,-0.10008804500103,-0.0741242170333862,-0.118954345583916,0.853506088256836,0.857220768928528,0.85367351770401,0.842113733291626,0.964600801467896,0.960396349430084,0.963305473327637,0.962040364742279,0.990625143051147,0.976605355739594,0.978655874729156,1,0.890852332115173,0.876360833644867,0.897507965564728,0.889630258083344,0.946049153804779,0.935616910457611,0.952730059623718,0.941521823406219,0.913559556007385,0.9121173620224,0.912690460681915,0.905421257019043,0.919872283935547,0.91538804769516,0.920996427536011,0.907047092914581,0.885158240795135,0.882860600948334,0.880689680576324,0.881759285926819,0.600488781929016,0.655977368354797,0.672942399978638,0.613903403282166,0.645559549331665,0.625629484653473,0.629305303096771,0.616897523403168
"Day3_MRL_Average",-0.0332650654017925,-0.0540387369692326,0.000117122704978101,0.0517926961183548,0.146515548229218,-0.00455986754968762,0.0326995514333248,0.955534875392914,0.960864961147308,0.956626176834106,0.940747082233429,0.955593287944794,0.955507457256317,0.949122905731201,0.954076051712036,0.899464905261993,0.894480466842651,0.897141933441162,0.890852332115173,1,0.995120406150818,0.996536374092102,0.997793853282928,0.913321018218994,0.91476708650589,0.904817759990692,0.91161835193634,0.919241189956665,0.919029772281647,0.923456788063049,0.904751479625702,0.93585342168808,0.92435222864151,0.942134618759155,0.924390077590942,0.942581593990326,0.939111232757568,0.943082571029663,0.935338258743286,0.643280863761902,0.650873005390167,0.635824918746948,0.659079372882843,0.630508601665497,0.633032739162445,0.635588407516479,0.642640590667725
"Day3_MRL_1",-0.0322954095900059,-0.0625586286187172,-0.00160802225582302,0.0507844649255276,0.157817244529724,-0.00139737827703357,0.0406754538416862,0.947666764259338,0.952653229236603,0.950067579746246,0.932016789913177,0.944183945655823,0.944093406200409,0.938278257846832,0.942179024219513,0.884016990661621,0.878519594669342,0.881580650806427,0.876360833644867,0.995120406150818,1,0.985520303249359,0.989087045192719,0.903776526451111,0.906539857387543,0.895765244960785,0.90041184425354,0.909449934959412,0.907451033592224,0.915325105190277,0.895162403583527,0.927836954593658,0.914182603359222,0.933712184429169,0.919220149517059,0.935645043849945,0.931942522525787,0.937040507793427,0.927913308143616,0.645815908908844,0.65223091840744,0.635708272457123,0.662688851356506,0.632504403591156,0.634917676448822,0.637814819812775,0.645583689212799
"Day3_MRL_2",-0.0341088138520718,-0.0436869077384472,0.00960366427898407,0.0560981594026089,0.13523405790329,0.000661442463751882,0.0281636938452721,0.955223441123962,0.960401117801666,0.956692039966583,0.94022274017334,0.958247125148773,0.957552254199982,0.952150404453278,0.956975281238556,0.90647292137146,0.901663661003113,0.904182970523834,0.897507965564728,0.996536374092102,0.985520303249359,1,0.993804275989532,0.918880641460419,0.919814944267273,0.909696698188782,0.918263554573059,0.92459499835968,0.925512194633484,0.927575469017029,0.910174369812012,0.937694370746613,0.928623199462891,0.94352400302887,0.924152433872223,0.942596316337585,0.939527750015259,0.942917466163635,0.93513560295105,0.636799275875092,0.645731151103973,0.632514417171478,0.651815354824066,0.626843929290771,0.628954172134399,0.630292594432831,0.636696934700012
